ticker,name,exchange
TSLA,Tesla Inc.,NASDAQ
ARES, Ares Management Corporation, NYSE
SWK,Stanley Black & Decker Inc.,NYSE
V,Visa Inc.,NYSE
MSFT,Microsoft Corporation,NASDAQ
MSCI,MSCI Inc.,NYSE
MAIN,Main Street Capital Corporation,NYSE
